Timestamp,Navigational status,SOG,COG,Heading
2024-03-02 00:59:15,Under way using engine,13.4,0.0,357.7
2024-03-02 00:59:25,Under way using engine,13.4,359.4,358.7
2024-03-02 00:59:35,Under way using engine,13.5,359.5,358.7
2024-03-02 00:59:45,Under way using engine,13.5,359.96666666666664,358.7
2024-03-02 00:59:55,Under way using engine,13.5,0.4333333333332803,358.7
2024-03-02 01:00:05,Under way using engine,13.5,0.8999999999999773,358.7
2024-03-02 01:00:15,Under way using engine,13.5,0.8000000000000114,357.7
2024-03-02 01:00:25,Under way using engine,13.6,0.0999999999999659,356.7
2024-03-02 01:00:35,Under way using engine,13.6,359.5,356.7
2024-03-02 01:00:45,Under way using engine,13.6,359.09999999999997,356.7
2024-03-02 01:00:55,Under way using engine,13.6,358.84999999999997,356.2
2024-03-02 01:01:05,Under way using engine,13.6,358.59999999999997,355.7
2024-03-02 01:01:15,Under way using engine,13.6,358.4,355.7
2024-03-02 01:01:25,Under way using engine,13.6,358.09999999999997,354.7
2024-03-02 01:01:35,Under way using engine,13.6,357.4,353.7
2024-03-02 01:01:45,Under way using engine,13.7,356.5,353.7
2024-03-02 01:01:55,Under way using engine,13.7,356.34999999999997,354.2
2024-03-02 01:02:05,Under way using engine,13.7,356.2,354.7
2024-03-02 01:02:15,Under way using engine,13.7,356.3,354.7
2024-03-02 01:02:25,Under way using engine,13.7,356.3,354.7
2024-03-02 01:02:35,Under way using engine,13.7,356.3,354.7
2024-03-02 01:02:45,Under way using engine,13.7,356.2,353.7
2024-03-02 01:02:55,Under way using engine,13.7,356.15,353.7
2024-03-02 01:03:05,Under way using engine,13.7,356.09999999999997,353.7
2024-03-02 01:03:15,Under way using engine,13.7,355.9,353.7
2024-03-02 01:03:25,Under way using engine,13.8,355.7,353.7
2024-03-02 01:03:35,Under way using engine,13.8,355.5,353.7
2024-03-02 01:03:45,Under way using engine,13.8,355.59999999999997,352.7
2024-03-02 01:03:55,Under way using engine,13.8,355.45,351.7
2024-03-02 01:04:05,Under way using engine,13.8,355.3,350.7
2024-03-02 01:04:15,Under way using engine,13.8,354.4,349.7
2024-03-02 01:04:25,Under way using engine,13.8,353.4,349.7
2024-03-02 01:04:35,Under way using engine,13.8,352.5,348.7
2024-03-02 01:04:45,Under way using engine,13.8,351.3,348.7
2024-03-02 01:04:55,Under way using engine,13.8,350.75,348.7
2024-03-02 01:05:05,Under way using engine,13.8,350.2,348.7
2024-03-02 01:05:15,Under way using engine,13.8,350.5,348.7
2024-03-02 01:05:25,Under way using engine,13.8,350.7,348.7
2024-03-02 01:05:35,Under way using engine,13.8,350.8,348.7
2024-03-02 01:05:45,Under way using engine,13.8,350.7,348.7
2024-03-02 01:05:55,Under way using engine,13.85,350.5,348.2
2024-03-02 01:06:05,Under way using engine,13.9,350.3,347.7
2024-03-02 01:06:15,Under way using engine,13.9,350.0,347.7
2024-03-02 01:06:25,Under way using engine,13.9,349.7,347.7
2024-03-02 01:06:35,Under way using engine,13.9,349.5,347.7
2024-03-02 01:06:45,Under way using engine,13.9,349.4,347.7
2024-03-02 01:06:55,Under way using engine,13.9,349.4,347.7
2024-03-02 01:07:05,Under way using engine,13.9,349.4,347.7
2024-03-02 01:07:15,Under way using engine,13.9,349.4,347.7
2024-03-02 01:07:25,Under way using engine,13.9,349.4,347.7
2024-03-02 01:07:35,Under way using engine,13.9,349.4,347.7
2024-03-02 01:07:45,Under way using engine,13.9,349.59999999999997,347.7
2024-03-02 01:07:55,Under way using engine,13.9,349.8,347.7
2024-03-02 01:08:05,Under way using engine,13.9,350.0,347.7
2024-03-02 01:08:15,Under way using engine,13.9,349.9,346.7
2024-03-02 01:08:25,Under way using engine,13.9,349.5,346.7
2024-03-02 01:08:35,Under way using engine,13.9,349.0,346.7
2024-03-02 01:08:45,Under way using engine,13.9,348.7,345.7
2024-03-02 01:08:55,Under way using engine,13.9,348.4,344.7
2024-03-02 01:09:05,Under way using engine,13.9,348.09999999999997,343.7
2024-03-02 01:09:15,Under way using engine,13.9,347.24999999999994,343.2
2024-03-02 01:09:25,Under way using engine,13.9,346.4,342.7
2024-03-02 01:09:35,Under way using engine,13.9,345.5,341.7
2024-03-02 01:09:45,Under way using engine,13.9,344.7,341.7
2024-03-02 01:09:55,Under way using engine,13.9,343.9,341.7
2024-03-02 01:10:05,Under way using engine,13.9,343.8,341.7
2024-03-02 01:10:15,Under way using engine,13.9,343.84999999999997,341.7
2024-03-02 01:10:25,Under way using engine,13.9,343.9,341.7
2024-03-02 01:10:35,Under way using engine,13.9,343.9,341.7
2024-03-02 01:10:45,Under way using engine,13.9,343.59999999999997,341.2
2024-03-02 01:10:55,Under way using engine,13.9,343.3,340.7
2024-03-02 01:11:05,Under way using engine,13.933333333333334,343.0,340.7
2024-03-02 01:11:15,Under way using engine,13.966666666666669,342.7,340.7
2024-03-02 01:11:25,Under way using engine,14.0,342.4,340.7
2024-03-02 01:11:35,Under way using engine,14.0,342.3,340.7
2024-03-02 01:11:45,Under way using engine,14.0,342.40000000000003,341.2
2024-03-02 01:11:55,Under way using engine,14.0,342.5,341.7
2024-03-02 01:12:05,Under way using engine,14.0,342.51666666666665,341.5333333333333
2024-03-02 01:12:15,Under way using engine,14.0,342.5333333333333,341.3666666666667
2024-03-02 01:12:25,Under way using engine,14.0,342.55,341.2
2024-03-02 01:12:35,Under way using engine,14.0,342.56666666666666,341.0333333333333
2024-03-02 01:12:45,Under way using engine,14.0,342.5833333333333,340.8666666666667
2024-03-02 01:12:55,Under way using engine,14.0,342.59999999999997,340.7
2024-03-02 01:13:05,Under way using engine,14.0,342.55,340.7
2024-03-02 01:13:15,Under way using engine,14.0,342.5,340.7
2024-03-02 01:13:25,Under way using engine,14.0,342.45,340.7
2024-03-02 01:13:35,Under way using engine,14.0,342.4,340.7
