Timestamp,MMSI,Latitude,Longitude,Navigational status,SOG,COG,Heading
2024-04-02 21:00:17,219027026.0,57.922547,10.871742,Engaged in fishing,3.0,226.6,227.0
2024-04-02 21:00:27,219027026.0,57.92245,10.871557,Engaged in fishing,3.0,226.4,226.0
2024-04-02 21:00:37,219027026.0,57.922345,10.871347,Engaged in fishing,3.0,226.7,228.0
2024-04-02 21:00:47,219027026.0,57.922248499999995,10.8711625,Engaged in fishing,3.0,226.6,227.5
2024-04-02 21:00:57,219027026.0,57.922152,10.870978,Engaged in fishing,3.0,226.5,227.0
2024-04-02 21:01:07,219027026.0,57.922058,10.870795,Engaged in fishing,3.0,226.6,227.0
2024-04-02 21:01:17,219027026.0,57.921975,10.870623,Engaged in fishing,3.0,226.4,228.0
2024-04-02 21:01:27,219027026.0,57.921887,10.870427,Engaged in fishing,3.0,227.0,228.0
2024-04-02 21:01:37,219027026.0,57.921782,10.870217,Engaged in fishing,3.0,227.2,228.0
2024-04-02 21:01:47,219027026.0,57.921695,10.870035,Engaged in fishing,3.0,228.1,228.0
2024-04-02 21:01:57,219027026.0,57.921585,10.869838,Engaged in fishing,3.0,226.8,227.0
2024-04-02 21:02:07,219027026.0,57.921495,10.869658,Engaged in fishing,3.0,226.9,228.0
2024-04-02 21:02:17,219027026.0,57.92141,10.869488,Engaged in fishing,3.0,226.2,227.0
2024-04-02 21:02:27,219027026.0,57.921315,10.869292,Engaged in fishing,3.0,227.3,228.0
2024-04-02 21:02:37,219027026.0,57.921213,10.86908,Engaged in fishing,3.0,227.1,228.0
2024-04-02 21:02:47,219027026.0,57.92111966666667,10.868889,Engaged in fishing,3.0,227.2,228.0
2024-04-02 21:02:57,219027026.0,57.92102633333333,10.868698,Engaged in fishing,3.0,227.3,228.0
2024-04-02 21:03:07,219027026.0,57.920933,10.868507,Engaged in fishing,3.0,227.4,228.0
2024-04-02 21:03:17,219027026.0,57.9208425,10.868322,Engaged in fishing,3.0,227.45,228.5
2024-04-02 21:03:27,219027026.0,57.920752,10.868137,Engaged in fishing,3.0,227.5,229.0
2024-04-02 21:03:37,219027026.0,57.920653,10.867928,Engaged in fishing,3.0,227.8,228.0
2024-04-02 21:03:47,219027026.0,57.9205604,10.8677408,Engaged in fishing,3.0,227.70000000000002,228.0
2024-04-02 21:03:57,219027026.0,57.9204678,10.867553599999999,Engaged in fishing,3.0,227.60000000000002,228.0
2024-04-02 21:04:07,219027026.0,57.9203752,10.8673664,Engaged in fishing,3.0,227.5,228.0
2024-04-02 21:04:17,219027026.0,57.9202826,10.867179199999999,Engaged in fishing,3.0,227.4,228.0
2024-04-02 21:04:27,219027026.0,57.92019,10.866992,Engaged in fishing,3.0,227.3,228.0
2024-04-02 21:04:37,219027026.0,57.920097,10.866799666666667,Engaged in fishing,3.0,227.35000000000002,227.83333333333334
2024-04-02 21:04:47,219027026.0,57.920004,10.866607333333333,Engaged in fishing,3.0,227.4,227.66666666666666
2024-04-02 21:04:57,219027026.0,57.919911,10.866415,Engaged in fishing,3.0,227.45,227.5
2024-04-02 21:05:07,219027026.0,57.919818,10.866222666666667,Engaged in fishing,3.0,227.5,227.33333333333334
2024-04-02 21:05:17,219027026.0,57.919725,10.866030333333333,Engaged in fishing,3.0,227.55,227.16666666666666
2024-04-02 21:05:27,219027026.0,57.919632,10.865838,Engaged in fishing,3.0,227.6,227.0
2024-04-02 21:05:37,219027026.0,57.9195366875,10.8656473125,Engaged in fishing,3.0,227.53125,227.0
2024-04-02 21:05:47,219027026.0,57.919441375,10.865456625,Engaged in fishing,3.0,227.4625,227.0
2024-04-02 21:05:57,219027026.0,57.9193460625,10.8652659375,Engaged in fishing,3.0,227.39374999999998,227.0
2024-04-02 21:06:07,219027026.0,57.91925075,10.86507525,Engaged in fishing,3.0,227.325,227.0
2024-04-02 21:06:17,219027026.0,57.9191554375,10.8648845625,Engaged in fishing,3.0,227.25625,227.0
2024-04-02 21:06:27,219027026.0,57.919060125,10.864693875,Engaged in fishing,3.0,227.1875,227.0
2024-04-02 21:06:37,219027026.0,57.9189648125,10.8645031875,Engaged in fishing,3.0,227.11875,227.0
2024-04-02 21:06:47,219027026.0,57.9188695,10.8643125,Engaged in fishing,3.0,227.05,227.0
2024-04-02 21:06:57,219027026.0,57.9187741875,10.8641218125,Engaged in fishing,3.0,226.98125,227.0
2024-04-02 21:07:07,219027026.0,57.918678875,10.863931125,Engaged in fishing,3.0,226.9125,227.0
2024-04-02 21:07:17,219027026.0,57.9185835625,10.8637404375,Engaged in fishing,3.0,226.84375,227.0
2024-04-02 21:07:27,219027026.0,57.918488249999996,10.86354975,Engaged in fishing,3.0,226.775,227.0
2024-04-02 21:07:37,219027026.0,57.9183929375,10.8633590625,Engaged in fishing,3.0,226.70625,227.0
2024-04-02 21:07:47,219027026.0,57.918297625,10.863168375,Engaged in fishing,3.0,226.6375,227.0
2024-04-02 21:07:57,219027026.0,57.9182023125,10.8629776875,Engaged in fishing,3.0,226.56875,227.0
2024-04-02 21:08:07,219027026.0,57.918107,10.862787,Engaged in fishing,3.0,226.5,227.0
