file,misclassified
filtered_219459000_20240313_1954-20240313_2009_standardized_10s.csv,13
filtered_211870240_20240531_1817-20240531_1832_standardized_10s.csv,10
filtered_220614000_20240520_0831-20240520_0845_standardized_10s.csv,10
filtered_256956000_20240411_1410-20240411_1425_standardized_10s.csv,10
filtered_352001928_20240612_0201-20240612_0215_standardized_10s.csv,9
filtered_220516000_20240629_0708-20240629_0722_standardized_10s.csv,9
filtered_265781000_20240418_1300-20240418_1315_standardized_10s.csv,9
filtered_538005408_20240403_0817-20240403_0832_standardized_10s.csv,9
filtered_636093289_20240521_0633-20240521_0648_standardized_10s.csv,9
filtered_245953000_20240311_1731-20240311_1746_standardized_10s.csv,9
filtered_261148000_20240317_2323-20240317_2337_standardized_10s.csv,8
filtered_259143000_20240609_1919-20240609_1934_standardized_10s.csv,8
filtered_219244000_20240314_2116-20240314_2131_standardized_10s.csv,8
filtered_246719000_20240410_2048-20240410_2103_standardized_10s.csv,8
filtered_244059000_20240626_2150-20240626_2205_standardized_10s.csv,8
filtered_255806303_20240322_1446-20240322_1501_standardized_10s.csv,8
filtered_636018578_20240427_1735-20240427_1750_standardized_10s.csv,8
filtered_311087000_20240405_0755-20240405_0809_standardized_10s.csv,8
filtered_257086660_20240405_0251-20240405_0306_standardized_10s.csv,8
filtered_259222000_20240524_1900-20240524_1915_standardized_10s.csv,8
filtered_231356000_20241126_2227-20241126_2242_standardized_10s.csv,8
filtered_309116000_20240330_1002-20240330_1016_standardized_10s.csv,7
filtered_246051000_20240611_1846-20240611_1901_standardized_10s.csv,7
filtered_220339000_20240617_0122-20240617_0137_standardized_10s.csv,7
filtered_257097800_20240611_2214-20240611_2229_standardized_10s.csv,7
filtered_565186000_20240620_1846-20240620_1901_standardized_10s.csv,7
filtered_212376000_20240622_0157-20240622_0211_standardized_10s.csv,7
filtered_257207000_20240624_0745-20240624_0800_standardized_10s.csv,7
filtered_244010871_20240416_2337-20240416_2352_standardized_10s.csv,7
filtered_538010542_20240522_0827-20240522_0842_standardized_10s.csv,7
filtered_266470000_20240419_0209-20240419_0224_standardized_10s.csv,7
filtered_210548000_20240430_0838-20240430_0853_standardized_10s.csv,7
filtered_538009326_20240310_2054-20240310_2109_standardized_10s.csv,7
filtered_247386800_20240611_1951-20240611_2006_standardized_10s.csv,7
filtered_247290000_20240529_1414-20240529_1429_standardized_10s.csv,7
filtered_229807000_20240416_0917-20240416_0932_standardized_10s.csv,7
filtered_257306000_20240302_0525-20240302_0540_standardized_10s.csv,7
filtered_257588000_20240304_2029-20240304_2044_standardized_10s.csv,7
